,NU_IDADE,NOTA_MEDIA,sexo,raca,natureza,pai,mae,renda
402,18,552.1,0,branca,publica,4,4,J
403,17,272.66,1,branca,publica,2,2,F
404,17,586.02,0,branca,publica,3,2,B
405,17,517.24,1,preta,publica,3,3,H
406,17,493.24,1,preta,publica,3,2,C
407,17,586.58,1,branca,privada,4,3,F
408,17,521.36,0,preta,publica,3,2,G
409,17,501.26,1,branca,publica,3,3,G
410,17,596.04,0,branca,publica,2,4,D
411,18,528.04,0,branca,publica,3,2,D
412,17,452.3,1,preta,publica,4,3,D
413,17,665.5,1,branca,privada,4,2,C
414,17,608.88,0,branca,privada,4,4,H
415,18,602.86,0,parda,publica,4,4,K
416,17,518.56,1,branca,publica,3,4,G
417,17,571.3,0,branca,publica,2,4,F
418,17,633.1,1,parda,publica,3,4,I
419,17,609.2,0,branca,privada,4,4,H
420,17,478.56,1,branca,publica,4,4,F
421,18,502,0,branca,publica,3,3,G
422,17,513.4,1,preta,publica,3,2,B
423,18,508.12,0,branca,privada,4,4,H
424,17,531.64,1,branca,privada,3,3,H
425,17,452.06,1,branca,publica,4,4,F
426,17,502,1,branca,publica,4,4,H
427,17,734.06,0,branca,privada,4,4,H
428,17,455.02,1,parda,publica,5,4,F
429,17,460.08,1,branca,publica,1,2,C
430,17,568.08,0,branca,exterior,4,5,K
431,17,493.16,1,preta,publica,3,3,G
432,18,581.28,0,branca,privada,4,4,I
433,17,578.7,1,branca,publica,3,2,D
434,17,524.84,1,branca,publica,3,3,G
435,20,601.62,1,parda,publica,2,2,C
436,17,519.86,1,branca,publica,3,3,B
437,18,662.54,0,branca,publica,2,3,E
438,18,588.72,0,parda,publica,3,4,F
439,18,479.42,0,branca,publica,4,4,E
440,17,661.38,0,parda,privada,5,5,P
441,17,672.56,0,branca,publica,4,4,F
442,17,575.28,1,parda,publica,4,4,J
443,17,521.92,1,branca,publica,2,3,B
444,17,531.36,1,branca,exterior,4,4,G
445,17,564.84,1,branca,publica,4,4,C
446,19,551.68,1,branca,privada,4,3,J
447,17,506.62,0,branca,publica,3,3,B
448,17,585.94,1,branca,publica,4,4,E
449,17,636.4,1,branca,privada,4,4,M
450,17,543.68,1,preta,publica,3,2,G
451,18,470.52,1,parda,publica,3,2,B
452,17,611.7,1,branca,privada,5,4,L
453,17,607.6,0,branca,privada,4,4,K
454,18,440.46,1,branca,publica,4,3,C
455,17,627.46,1,branca,publica,2,2,C
456,17,669.32,1,branca,privada,5,5,Q
457,18,548.4,0,amarela,publica,3,4,C
